record_id,year,state_de,city_de,total_population,density_per_sq_km,gender_ratio,age_group_0_14_percent,age_group_65_plus_percent,migration_balance_2022,foreign_nationals_percent,unemployment_rate_percent,birth_rate_per_1000
1001,2023,Nordrhein-Westfalen,Köln,18131000,529.0,95.8,13.5,22.1,85000,18.5,6.8,9.1
1002,2022,Bayern,München,13140000,186.0,96.5,14.2,20.5,72000,15.1,3.1,9.7
1003,2023,Berlin,Berlin,3760000,4200.0,97.2,13.1,18.9,35000,22.0,8.5,9.4
1004,2021,Baden-Württemberg,Stuttgart,11110000,311.0,95.9,13.8,21.3,41000,16.9,4.0,9.5
1005,2023,Hessen,Frankfurt am Main,6390000,303.0,96.0,14.0,20.8,28000,18.8,5.5,9.0
1006,2022,Sachsen,Dresden,4070000,220.0,94.5,13.0,25.5,-5000,10.5,6.1,8.1
1007,2023,Niedersachsen,Hannover,8000000,168.0,95.5,13.9,22.0,33000,14.5,5.2,9.2
1008,2021,Hamburg,Hamburg,1850000,2460.0,97.0,13.7,18.5,11000,20.1,7.9,9.6
1009,2022,Mecklenburg-Vorpommern,Rostock,1610000,69.0,94.0,12.5,27.0,-800,6.5,7.5,7.8
1010,2023,Rheinland-Pfalz,Mainz,4160000,205.0,95.6,13.6,23.5,18000,13.9,4.8,8.8
